,Loyal_Customers
260,14490.0
261,14492.0
262,14493.0
263,14498.0
264,14505.0
265,14515.0
266,14524.0
267,14525.0
268,14530.0
269,14532.0
270,14534.0
271,14535.0
272,14541.0
273,14543.0
274,14549.0
275,14551.0
276,14552.0
277,14553.0
278,14555.0
279,14562.0
280,14564.0
281,14572.0
282,14577.0
283,14583.0
284,14584.0
285,14585.0
286,14590.0
287,14593.0
288,14599.0
289,14623.0
290,14626.0
291,14639.0
292,14640.0
293,14648.0
294,14649.0
295,14651.0
296,14656.0
297,14657.0
298,14662.0
299,14663.0
300,14675.0
301,14676.0
302,14679.0
303,14682.0
304,14684.0
305,14686.0
306,14692.0
307,14693.0
308,14704.0
309,14714.0
310,14732.0
311,14734.0
312,14735.0
313,14740.0
314,14754.0
315,14755.0
316,14756.0
317,14758.0
318,14769.0
319,14776.0
320,14805.0
321,14817.0
322,14828.0
323,14838.0
324,14839.0
325,14844.0
326,14850.0
327,14852.0
328,14854.0
329,14861.0
330,14867.0
331,14868.0
332,14869.0
333,14877.0
334,14895.0
335,14897.0
336,14899.0
337,14904.0
338,14913.0
339,14918.0
340,14936.0
341,14944.0
342,14952.0
343,14953.0
344,14966.0
345,14970.0
346,14978.0
347,14988.0
348,14994.0
349,15016.0
350,15031.0
351,15034.0
352,15046.0
353,15050.0
354,15062.0
355,15064.0
356,15067.0
357,15068.0
358,15073.0
359,15095.0
360,15122.0
361,15123.0
362,15129.0
363,15142.0
364,15159.0
365,15164.0
366,15167.0
367,15173.0
368,15179.0
369,15182.0
370,15203.0
371,15215.0
372,15218.0
373,15227.0
374,15228.0
375,15241.0
376,15248.0
377,15249.0
378,15251.0
379,15252.0
380,15253.0
381,15255.0
382,15261.0
383,15270.0
384,15276.0
385,15279.0
386,15290.0
387,15296.0
388,15312.0
389,15325.0
390,15339.0
391,15365.0
392,15366.0
393,15367.0
394,15379.0
395,15384.0
396,15390.0
397,15394.0
398,15402.0
399,15418.0
400,15421.0
401,15425.0
402,15451.0
403,15452.0
404,15456.0
405,15466.0
406,15471.0
407,15476.0
408,15483.0
409,15489.0
410,15493.0
411,15497.0
412,15501.0
413,15506.0
414,15521.0
415,15523.0
416,15527.0
417,15551.0
418,15561.0
419,15569.0
420,15571.0
421,15572.0
422,15579.0
423,15584.0
424,15590.0
425,15600.0
426,15606.0
427,15615.0
428,15622.0
429,15623.0
430,15641.0
431,15652.0
432,15665.0
433,15674.0
434,15678.0
435,15710.0
436,15719.0
437,15723.0
438,15727.0
439,15736.0
440,15757.0
441,15764.0
442,15774.0
443,15786.0
444,15789.0
445,15795.0
446,15805.0
447,15810.0
448,15812.0
449,15817.0
450,15819.0
451,15865.0
452,15870.0
453,15874.0
454,15879.0
455,15885.0
456,15900.0
457,15910.0
458,15915.0
459,15957.0
460,15958.0
461,15968.0
462,15976.0
463,15978.0
464,15981.0
465,15994.0
466,15995.0
467,15998.0
468,16003.0
469,16006.0
470,16007.0
471,16008.0
472,16012.0
473,16014.0
474,16017.0
475,16019.0
476,16021.0
477,16036.0
478,16045.0
479,16053.0
480,16072.0
481,16085.0
482,16101.0
483,16103.0
484,16104.0
485,16108.0
486,16111.0
487,16115.0
488,16120.0
489,16121.0
490,16124.0
491,16128.0
492,16129.0
493,16134.0
494,16145.0
495,16147.0
496,16153.0
497,16156.0
498,16167.0
499,16170.0
500,16176.0
501,16190.0
502,16200.0
503,16202.0
504,16205.0
505,16206.0
506,16208.0
507,16225.0
508,16229.0
509,16232.0
510,16242.0
511,16253.0
512,16258.0
513,16259.0
514,16265.0
515,16279.0
516,16283.0
517,16300.0
518,16303.0
519,16307.0
520,16314.0
521,16316.0
522,16325.0
523,16326.0
524,16329.0
525,16330.0
526,16336.0
527,16347.0
528,16351.0
529,16367.0
530,16372.0
531,16374.0
532,16381.0
533,16383.0
534,16387.0
535,16391.0
536,16392.0
537,16395.0
538,16400.0
539,16409.0
540,16412.0
541,16416.0
542,16418.0
543,16428.0
544,16441.0
545,16444.0
546,16445.0
547,16466.0
548,16470.0
549,16485.0
550,16497.0
551,16501.0
552,16503.0
553,16511.0
554,16521.0
555,16523.0
556,16527.0
557,16549.0
558,16553.0
559,16554.0
560,16560.0
561,16563.0
562,16571.0
563,16588.0
564,16607.0
565,16611.0
566,16619.0
567,16620.0
568,16625.0
569,16650.0
570,16652.0
571,16655.0
572,16656.0
573,16670.0
574,16686.0
575,16693.0
576,16699.0
577,16701.0
578,16702.0
579,16705.0
580,16707.0
581,16712.0
582,16726.0
583,16727.0
584,16732.0
585,16735.0
586,16746.0
587,16748.0
588,16756.0
589,16767.0
590,16768.0
591,16772.0
592,16774.0
593,16777.0
594,16787.0
595,16788.0
596,16791.0
597,16792.0
598,16794.0
599,16797.0
600,16799.0
601,16809.0
602,16823.0
603,16841.0
604,16843.0
605,16854.0
606,16873.0
607,16887.0
608,16889.0
609,16903.0
610,16906.0
611,16912.0
612,16918.0
613,16932.0
614,16933.0
615,16934.0
616,16935.0
617,16936.0
618,16938.0
619,16945.0
620,16946.0
621,16958.0
622,16960.0
623,16972.0
624,16984.0
625,16991.0
626,16992.0
627,17003.0
628,17006.0
629,17047.0
630,17063.0
631,17071.0
632,17075.0
633,17081.0
634,17082.0
635,17083.0
636,17084.0
637,17095.0
638,17096.0
639,17107.0
640,17126.0
641,17137.0
642,17138.0
643,17139.0
644,17141.0
645,17142.0
646,17143.0
647,17146.0
648,17165.0
649,17179.0
650,17180.0
651,17190.0
652,17196.0
653,17203.0
654,17220.0
655,17231.0
656,17241.0
657,17244.0
658,17255.0
659,17264.0
660,17269.0
661,17284.0
662,17288.0
663,17290.0
664,17293.0
665,17311.0
666,17314.0
667,17321.0
668,17323.0
669,17326.0
670,17349.0
671,17350.0
672,17354.0
673,17360.0
674,17362.0
675,17365.0
676,17366.0
677,17372.0
678,17404.0
679,17409.0
680,17416.0
681,17422.0
682,17432.0
683,17442.0
684,17449.0
685,17465.0
686,17469.0
687,17504.0
688,17508.0
689,17515.0
690,17518.0
691,17544.0
692,17545.0
693,17550.0
694,17555.0
695,17561.0
696,17589.0
697,17593.0
698,17597.0
699,17601.0
700,17604.0
701,17609.0
702,17611.0
703,17618.0
704,17623.0
705,17635.0
706,17639.0
707,17642.0
708,17644.0
709,17663.0
710,17667.0
711,17672.0
712,17686.0
713,17692.0
714,17696.0
715,17700.0
716,17702.0
717,17713.0
718,17714.0
719,17716.0
720,17726.0
721,17728.0
722,17730.0
723,17738.0
724,17742.0
725,17758.0
726,17764.0
727,17768.0
728,17769.0
729,17774.0
730,17776.0
731,17797.0
732,17799.0
733,17807.0
734,17822.0
735,17823.0
736,17829.0
737,17848.0
738,17851.0
739,17852.0
740,17853.0
741,17861.0
742,17862.0
743,17867.0
744,17871.0
745,17913.0
746,17931.0
747,17974.0
748,17977.0
749,17984.0
750,17994.0
751,18008.0
752,18022.0
753,18036.0
754,18044.0
755,18047.0
756,18057.0
757,18060.0
758,18065.0
759,18069.0
760,18098.0
761,18145.0
762,18149.0
763,18151.0
764,18172.0
765,18178.0
766,18181.0
767,18188.0
768,18223.0
769,18231.0
770,18276.0
771,18283.0
772,18287.0
