,loyal_customers
312,14640.0
313,14651.0
314,14657.0
315,14662.0
316,14664.0
317,14665.0
318,14675.0
319,14680.0
320,14684.0
321,14691.0
322,14700.0
323,14709.0
324,14710.0
325,14715.0
326,14733.0
327,14748.0
328,14775.0
329,14776.0
330,14800.0
331,14801.0
332,14808.0
333,14810.0
334,14834.0
335,14841.0
336,14842.0
337,14844.0
338,14849.0
339,14852.0
340,14856.0
341,14857.0
342,14898.0
343,14903.0
344,14913.0
345,14916.0
346,14921.0
347,14936.0
348,14944.0
349,14948.0
350,14952.0
351,14959.0
352,14971.0
353,14976.0
354,14995.0
355,15000.0
356,15005.0
357,15006.0
358,15012.0
359,15025.0
360,15034.0
361,15038.0
362,15044.0
363,15048.0
364,15050.0
365,15051.0
366,15058.0
367,15059.0
368,15065.0
369,15068.0
370,15093.0
371,15105.0
372,15106.0
373,15111.0
374,15114.0
375,15117.0
376,15125.0
377,15128.0
378,15129.0
379,15134.0
380,15140.0
381,15150.0
382,15164.0
383,15179.0
384,15184.0
385,15203.0
386,15220.0
387,15228.0
388,15240.0
389,15241.0
390,15249.0
391,15272.0
392,15281.0
393,15288.0
394,15291.0
395,15296.0
396,15301.0
397,15321.0
398,15339.0
399,15356.0
400,15365.0
401,15367.0
402,15370.0
403,15376.0
404,15382.0
405,15398.0
406,15407.0
407,15411.0
408,15416.0
409,15426.0
410,15427.0
411,15429.0
412,15440.0
413,15449.0
414,15465.0
415,15482.0
416,15485.0
417,15493.0
418,15494.0
419,15502.0
420,15505.0
421,15506.0
422,15513.0
423,15518.0
424,15521.0
425,15527.0
426,15529.0
427,15530.0
428,15532.0
429,15533.0
430,15545.0
431,15563.0
432,15573.0
433,15584.0
434,15594.0
435,15605.0
436,15606.0
437,15608.0
438,15620.0
439,15622.0
440,15630.0
441,15632.0
442,15660.0
443,15671.0
444,15676.0
445,15679.0
446,15696.0
447,15707.0
448,15708.0
449,15719.0
450,15720.0
451,15722.0
452,15727.0
453,15730.0
454,15737.0
455,15738.0
456,15743.0
457,15745.0
458,15752.0
459,15756.0
460,15763.0
461,15785.0
462,15786.0
463,15787.0
464,15791.0
465,15801.0
466,15805.0
467,15811.0
468,15814.0
469,15819.0
470,15821.0
471,15826.0
472,15831.0
473,15834.0
474,15839.0
475,15845.0
476,15850.0
477,15858.0
478,15860.0
479,15870.0
480,15872.0
481,15874.0
482,15901.0
483,15906.0
484,15916.0
485,15919.0
486,15933.0
487,15950.0
488,15952.0
489,15953.0
490,15955.0
491,15965.0
492,15967.0
493,15974.0
494,15977.0
495,15981.0
496,15983.0
497,15998.0
498,16003.0
499,16007.0
500,16009.0
501,16012.0
502,16014.0
503,16019.0
504,16023.0
505,16029.0
506,16040.0
507,16042.0
508,16049.0
509,16053.0
510,16056.0
511,16057.0
512,16059.0
513,16066.0
514,16081.0
515,16085.0
516,16101.0
517,16110.0
518,16121.0
519,16126.0
520,16128.0
521,16131.0
522,16150.0
523,16153.0
524,16170.0
525,16173.0
526,16186.0
527,16187.0
528,16188.0
529,16205.0
530,16206.0
531,16208.0
532,16218.0
533,16221.0
534,16224.0
535,16225.0
536,16240.0
537,16245.0
538,16249.0
539,16253.0
540,16255.0
541,16258.0
542,16261.0
543,16279.0
544,16284.0
545,16293.0
546,16303.0
547,16316.0
548,16327.0
549,16332.0
550,16341.0
551,16348.0
552,16362.0
553,16367.0
554,16369.0
555,16372.0
556,16374.0
557,16385.0
558,16386.0
559,16394.0
560,16395.0
561,16399.0
562,16406.0
563,16409.0
564,16416.0
565,16418.0
566,16422.0
567,16434.0
568,16444.0
569,16445.0
570,16455.0
571,16460.0
572,16463.0
573,16464.0
574,16466.0
575,16469.0
576,16470.0
577,16477.0
578,16497.0
579,16504.0
580,16511.0
581,16515.0
582,16531.0
583,16533.0
584,16556.0
585,16570.0
586,16571.0
587,16595.0
588,16607.0
589,16609.0
590,16612.0
591,16618.0
592,16628.0
593,16633.0
594,16637.0
595,16638.0
596,16652.0
597,16653.0
598,16655.0
599,16656.0
600,16669.0
601,16670.0
602,16674.0
603,16676.0
604,16685.0
605,16686.0
606,16693.0
607,16706.0
608,16710.0
609,16713.0
610,16717.0
611,16719.0
612,16722.0
613,16726.0
614,16728.0
615,16729.0
616,16730.0
617,16743.0
618,16748.0
619,16750.0
620,16762.0
621,16767.0
622,16770.0
623,16771.0
624,16776.0
625,16791.0
626,16804.0
627,16809.0
628,16814.0
629,16837.0
630,16841.0
631,16843.0
632,16869.0
633,16871.0
634,16875.0
635,16880.0
636,16885.0
637,16895.0
638,16898.0
639,16900.0
640,16903.0
641,16907.0
642,16912.0
643,16916.0
644,16918.0
645,16921.0
646,16924.0
647,16934.0
648,16940.0
649,16945.0
650,16960.0
651,16985.0
652,17015.0
653,17041.0
654,17043.0
655,17052.0
656,17054.0
657,17059.0
658,17063.0
659,17064.0
660,17069.0
661,17071.0
662,17073.0
663,17075.0
664,17081.0
665,17082.0
666,17084.0
667,17088.0
668,17092.0
669,17095.0
670,17100.0
671,17107.0
672,17109.0
673,17139.0
674,17147.0
675,17158.0
676,17159.0
677,17160.0
678,17162.0
679,17164.0
680,17175.0
681,17180.0
682,17191.0
683,17198.0
684,17203.0
685,17211.0
686,17213.0
687,17214.0
688,17220.0
689,17228.0
690,17255.0
691,17272.0
692,17284.0
693,17287.0
694,17289.0
695,17295.0
696,17301.0
697,17302.0
698,17314.0
699,17323.0
700,17338.0
701,17340.0
702,17345.0
703,17348.0
704,17360.0
705,17368.0
706,17371.0
707,17372.0
708,17377.0
709,17387.0
710,17397.0
711,17410.0
712,17416.0
713,17422.0
714,17442.0
715,17459.0
716,17461.0
717,17463.0
718,17469.0
719,17470.0
720,17509.0
721,17512.0
722,17515.0
723,17516.0
724,17519.0
725,17537.0
726,17545.0
727,17555.0
728,17562.0
729,17571.0
730,17589.0
731,17596.0
732,17608.0
733,17609.0
734,17612.0
735,17613.0
736,17614.0
737,17625.0
738,17633.0
739,17634.0
740,17648.0
741,17652.0
742,17659.0
743,17663.0
744,17667.0
745,17669.0
746,17672.0
747,17685.0
748,17690.0
749,17696.0
750,17700.0
751,17702.0
752,17716.0
753,17719.0
754,17725.0
755,17727.0
756,17738.0
757,17758.0
758,17759.0
759,17764.0
760,17777.0
761,17779.0
762,17790.0
763,17796.0
764,17797.0
765,17799.0
766,17800.0
767,17809.0
768,17813.0
769,17828.0
770,17832.0
771,17837.0
772,17838.0
773,17863.0
774,17865.0
775,17867.0
776,17886.0
777,17888.0
778,17894.0
779,17913.0
780,17917.0
781,17921.0
782,17932.0
783,17961.0
784,17964.0
785,17965.0
786,17966.0
787,17974.0
788,17975.0
789,17979.0
790,17999.0
791,18016.0
792,18022.0
793,18034.0
794,18036.0
795,18043.0
796,18069.0
797,18075.0
798,18079.0
799,18082.0
800,18116.0
801,18117.0
802,18125.0
803,18130.0
804,18139.0
805,18161.0
806,18172.0
807,18177.0
808,18188.0
809,18204.0
810,18221.0
811,18226.0
812,18235.0
813,18252.0
814,18257.0
815,18263.0
816,18287.0
